run       	runtime   	costs     	aligned   	prec      	rec       	f1        	acc       
001       	  2270ms  	127.2%    	-99.9%    	0.70      	0.06      	0.11      	0.60      
002       	  1970ms  	127.3%    	-99.9%    	0.69      	0.03      	0.06      	0.31      
003       	  2012ms  	127.2%    	-99.9%    	0.65      	0.00      	0.00      	0.52      
004       	  1412ms  	127.3%    	-99.9%    	0.71      	0.10      	0.17      	0.60      
005       	  1159ms  	127.2%    	-99.9%    	0.70      	0.09      	0.16      	0.64      
006       	  1518ms  	127.3%    	-99.9%    	0.70      	0.02      	0.04      	0.47      
007       	  1302ms  	127.3%    	-99.9%    	0.69      	0.14      	0.24      	0.55      
008       	  1573ms  	127.2%    	-99.9%    	0.72      	0.02      	0.03      	0.42      
009       	  1206ms  	127.3%    	-99.9%    	0.69      	0.05      	0.10      	0.65      
010       	  1364ms  	127.2%    	-99.9%    	0.71      	0.06      	0.10      	0.35      
avg       	  1578ms  	127.2%    	-99.9%    	0.70      	0.06      	0.10      	0.51      
