id|K1|K2|K3|A|U|B
T01|99991231|0000|A|80|k €|IBM
T02|20120128|0001|A|180|k €|IBM
T03|20120731|0002|C|21|k €|IBM
T04|20120731|0003|B|425|k €|IBM
T05|20121125|0004|B|0.022|k €|DAB
T06|20130315|0005|A|220|k €|IBM
T07|20130416|0006|A|80|k €|IBM
T08|20131021|0007|C|9.8|k €|SAP
T09|20140503|0008|C|422.4|k €|IBM
T10|20140503|0009|C|6.54|k €|SAP
T11|20150213|0010|D|0.065|k €|BASF
T12|20161231|0011|E|80|k €|BASF
T13|20180701|0012|D|0.065|k €|SAP
T14|20180701|0013|D|180|k €|BASF
T15|20180701|0014|D|220|k €|BASF
T16|99991231|0015|F|0.45|k €|SAP
